"","x"
"1","missouri laramie blackfeet assiniboine lands"
"2","executive klamath committee december wilkinson"
"3","seminole florida seminoles state spanish"
"4","grant mexico title grants santa"
"5","aleuts period aleut pribilof lease"
"6","fish fishing parcel project water"
"7","sec ration end edgar lndians"
"8","accounting funds report exception exceptions"
"9","california settlement pit groups mission"
"10","time make effect result view"
"11","case opinion fact parties held"
"12","texas mescalero apaches bands caddo"
"13","taos board grant town nambe"
"14","lands acre sales price average"
"15","yakima malheur oregon reservation tracts"
"16","state seneca nations oneidas land"
"17","osage osages missouri arkansas hunting"
"18","village part mouth miles villages"
"19","alabama georgia creeks tracts lots"
"20","mining area acres mineral production"
"21","ponca choctaw poncas territory chickasaw"
"22","subject sales grazing cattle range"
"23","line boundary point tract boundaries"
"24","agency items proper agricultural purchase"
"25","secretary interior affairs june letter"
"26","sioux yankton black general party"
"27","hills black gold average county"
"28","kansas delaware outlet missouri delawares"
"29","evidence findings finding record made"
"30","treaty article treaties rights october"
"31","consideration value land ceded treaty"
"32","associate day findings fact sum"
"33","potawatomi band michigan potawatomis bands"
"34","cherokees oklahoma loyal outlet niebell"
"35","colville spokane yakima confederated washington"
"36","island snohomish skagit point snoqualmie"
"37","expenses reimbursement incurred application claimed"
"38","contract attorneys attorney approved fee"
"39","part total located portion population"
"40","final judgment entry entered parties"
"41","oklahoma shawnee delaware absentee robert"
"42","cheyenne berthold arapaho reservation affiliated"
"43","made country president council agent"
"44","idaho reservation gold coeur agreement"
"45","land acres acreage state july"
"46","walla oregon umatilla cayuse bands"
"47","treaty point post washington stillaguamish"
"48","paiute lake valley nevada band"
"49","treaty article sum provided dollars"
"50","area county made miles year"
"51","period large found great good"
"52","interest act funds fund proceeds"
"53","offsets expenditures offset amount claimed"
"54","company railroad pacific feet subject"
"55","motion filed petition denied amended"
"56","ute colorado mohave uintah utah"
"57","title lands aboriginal date occupancy"
"58","value percent rate market discount"
"59","peoria kaskaskia wea tract behalf"
"60","chehalis cowlitz chinook bay lower"
"61","lands act stat congress agreement"
"62","attorneys contract attorney services case"
"63","sound puget washington act nisqually"
"64","vance day blue pierce richard"
"65","court decision jurisdiction judgment supra"
"66","omaha platte missouri otoe nebraska"
"67","royce area ohio greeneville ottawa"
"68","pet mountains map range divide"
"69","section law dealings clause language"
"70","settlement proposed tribal council members"
"71","kansas sale trust surplus school"
"72","meeting held meetings present chairman"
"73","yavapai reservation goshute bands groups"
"74","sioux sisseton wahpeton reservation minnesota"
"75","fox sac iowa missouri mississippi"
"76","area royce michigan pine subject"
"77","illinois indiana settlers prairie interest"
"78","action petition alleged cause suit"
"79","hopi doctor villages district exhibits"
"80","treaty area royce title lands"
"81","lake chippewa red minnesota bands"
"82","war military general peace hostile"
"83","members group tribal individual band"
"84","gila papago arizona santa pimas"
"85","pawnee kansas pawnees claimant nebraska"
"86","counsel dockets hualapai consolidated cases"
"87","senate bill congress committee amendment"
"88","chief people principal signed john"
"89","tract timber value nevada date"
"90","state land oneida nations secretary"
"91","reservation reservations executive years established"
"92","area navajo acoma laguna jicarilla"
"93","wisconsin green bay winnebago menominee"
"94","tribal expenses report appropriation act"
"95","water reservation rights soboba san"
"96","trust bonds secretary invested coin"
"97","miami indiana oklahoma kickapoo wabash"
"98","area land territory claimed occupied"
"99","tract value land market valuation"
"100","oil seminole land lease leases"
